index,stem,num_frames,num_chunks,gif,pred_mp4,bubble_mask_iou,departure_freq_mae,edge_mae_video,fg_coverage,fg_mae_video,fg_mse_video,fg_pixel_count,mae_video,mse_video,nucleation_count_ks,nucleation_count_mae,pred_departure_freq_mean,pred_fg_coverage,pred_nucleation_count_mean,pred_void_fraction_mean,psnr_video,residual_l1_video,spatial_density_l1,target_departure_freq_mean,target_nucleation_count_mean,target_void_fraction_mean,void_fraction_ks,void_fraction_mae
0,20,20,3,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\000_20_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\000_20_full_pred.mp4,0.37177437930577173,26272.0,0.049509383738040924,0.19610214233398438,0.03669176250696182,0.0041758897714316845,257035.0,0.025246785953640938,0.0030980417504906654,0.4,19.350000381469727,79354.0,0.2537193298339844,47.79999923706055,0.2537193298339844,25.089128017425537,0.025246785953640938,0.14542999863624573,53082.0,60.150001525878906,0.19610214233398438,0.3,0.133891299366951
1,200412_100_1,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\001_200412_100_1_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\001_200412_100_1_full_pred.mp4,0.629342932530848,54571.0,0.12083377689123154,0.4351422190666199,0.05731455609202385,0.010760337114334106,2851748.0,0.036283161491155624,0.006243887357413769,0.51,16.170000076293945,297859.0,0.5043670535087585,17.829999923706055,0.5043670535087585,22.04545021057129,0.036283161491155624,0.16344879567623138,352430.0,27.399999618530273,0.4351422190666199,0.5,0.07863280922174454
2,200412_300_4,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\002_200412_300_4_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\002_200412_300_4_full_pred.mp4,0.8002502870980119,24963.0,0.1479155272245407,0.603333592414856,0.07755417376756668,0.017944300547242165,3954007.0,0.05478285625576973,0.012578895315527916,0.57,5.96999979019165,235367.0,0.612285315990448,4.159999847412109,0.612285315990448,19.00357484817505,0.05478285625576973,0.09199768304824829,210404.0,8.529999732971191,0.603333592414856,0.29000000000000004,0.03595123440027237
3,200412_500_2,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\003_200412_500_2_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\003_200412_500_2_full_pred.mp4,0.8330618402092823,1526.0,0.1594507098197937,0.6526235938072205,0.08926211297512054,0.021021518856287003,4277034.0,0.06686761975288391,0.01611136831343174,0.49,1.9800000190734863,171244.0,0.6803351044654846,1.7200000286102295,0.6803351044654846,17.928675413131714,0.06686761975288391,0.09707885980606079,169718.0,3.119999885559082,0.6526235938072205,0.72,0.033810731023550034
4,200412_500_4,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\004_200412_500_4_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\004_200412_500_4_full_pred.mp4,0.8375528005116979,17664.0,0.16480404138565063,0.6573355197906494,0.09376603364944458,0.022713501006364822,4307914.0,0.0693407952785492,0.017001846805214882,0.36,1.5499999523162842,184839.0,0.6709115505218506,1.940000057220459,0.6709115505218506,17.69503951072693,0.0693407952785492,0.08731018006801605,167175.0,2.9700000286102295,0.6573355197906494,0.48,0.03116516023874283
5,200_3,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\005_200_3_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\005_200_3_full_pred.mp4,0.8475697602118291,40368.0,0.1458592414855957,0.6824348568916321,0.08191933482885361,0.01901465654373169,4472405.0,0.059313494712114334,0.013399505987763405,0.39999999999999997,2.4200000762939453,231120.0,0.6505634784698486,3.7100000381469727,0.6505634784698486,18.729112148284912,0.059313494712114334,0.07715575397014618,190752.0,2.450000047683716,0.6824348568916321,0.59,0.03620544448494911
6,20_3,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\006_20_3_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\006_20_3_full_pred.mp4,0.42960704529800403,28515.0,0.03726466745138168,0.15021881461143494,0.02085995115339756,0.0011965290177613497,984474.0,0.014082225039601326,0.0008241399773396552,0.25,11.59000015258789,272377.0,0.17503708600997925,57.77000045776367,0.17503708600997925,30.839989185333252,0.014082225039601326,0.08016067743301392,243862.0,61.599998474121094,0.15021881461143494,0.28,0.06271407753229141
7,20_9,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\007_20_9_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\007_20_9_full_pred.mp4,0.4284865231563446,33826.0,0.03738468512892723,0.15021881461143494,0.020860422402620316,0.0012002831790596247,984474.0,0.014165988191962242,0.0008309294935315847,0.27,12.930000305175781,277688.0,0.1791171282529831,55.970001220703125,0.1791171282529831,30.804357528686523,0.014165988191962242,0.08252166211605072,243862.0,61.599998474121094,0.15021881461143494,0.28,0.06350677460432053
8,30_4,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\008_30_4_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\008_30_4_full_pred.mp4,0.4485658183067062,14069.0,0.03731566295027733,0.17690536379814148,0.020960930734872818,0.0011804604437202215,1159367.0,0.013981671072542667,0.0008286864031106234,0.37000000000000005,11.670000076293945,275582.0,0.17835265398025513,56.45000076293945,0.17835265398025513,30.816097259521484,0.013981671072542667,0.0822254940867424,261513.0,62.900001525878906,0.17690536379814148,0.32999999999999996,0.06754440069198608
9,400_4,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\009_400_4_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\009_400_4_full_pred.mp4,0.8110194435081217,18522.0,0.16676852107048035,0.6541409492492676,0.10046210139989853,0.02535582333803177,4286978.0,0.07191447913646698,0.017702503129839897,0.43000000000000005,3.369999885559082,260386.0,0.6305070519447327,5.690000057220459,0.6305070519447327,17.519652843475342,0.07191447913646698,0.0834227055311203,278908.0,3.380000114440918,0.6541409492492676,0.52,0.028029631823301315
10,40_6,100,13,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\gifs\010_40_6_full_gt_pred_bg_resmask.gif,D:\DYLIM_연구교수\Boiling Sound to Visualization\SVD_LoRA_AudioControl_260421\outputs\residual_video_csv_full_8f_patchgan_edge_ms_test_full_rollout_best\pred_mp4\010_40_6_full_pred.mp4,0.3772922539210376,79533.0,0.06048160418868065,0.194294735789299,0.05083667114377022,0.01197681576013565,1273330.0,0.020428640767931938,0.00296258507296443,0.56,17.59000015258789,270953.0,0.17393402755260468,58.119998931884766,0.17393402755260468,25.283291339874268,0.020428640767931938,0.1104583740234375,350486.0,72.33000183105469,0.194294735789299,0.43999999999999995,0.07280761748552322
